index,album,entity_album,singer,identity,digit_date,price2,price,song_number,sales_volumn,total-sale,digit_album_img,entity_album_date,diff,entity-platform,entity_price,entity_type,entity_img,entity_thing,singer-img
146,钟之告,钟之告,窦唯 / 朝简,合作歌手,2021/8/22,10.0,10.0,1,1870,18700.0,https://y.qq.com/music/photo_new/T002R300x300M000002itXmT2IKXbD_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592019
147,“想象”跨年音乐会（下半场）,“想象”跨年音乐会（下半场）,窦唯 / 朝简,合作歌手,2021/12/31,30.0,30.0,1,1751,52530.0,https://y.qq.com/music/photo_new/T002R300x300M000003XJSIV4It2xv_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592011
148,元曲,元曲,窦唯 / 朝简,合作歌手,2021/10/14,10.0,10.0,1,1632,16320.0,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592022
149,贤文冬至乐会序曲·阿房宫赋,贤文冬至乐会序曲·阿房宫赋,窦唯 / 朝简,合作歌手,2023/1/13,10.0,10.0,1,1346,13460.0,https://y.qq.com/music/photo_new/T002R300x300M000003EjNGJ2mW8F9_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592024
150,戏韵文音·红楼文曲 (下),戏韵文音·红楼文曲 (下),窦唯 / 朝简,合作歌手,2022/11/11,30.0,30.0,1,1092,32760.0,https://y.qq.com/music/photo_new/T002R300x300M000003aMZSd0g2eGK_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592017
151,安神符,安神符,窦唯 / 朝简,合作歌手,2023/5/24,100.0,100.0,2,755,75500.0,https://y.qq.com/music/photo_new/T002R300x300M000002Oq8Mo4EdYs2_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592005
152,离骚2023,离骚2023,窦唯 / 朝简,合作歌手,2023/3/28,100.0,100.0,1,713,71300.0,https://y.qq.com/music/photo_new/T002R300x300M000002ARO3e0Ug4RB_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592006
153,神女赋,神女赋,窦唯 / 朝简,合作歌手,2023/4/30,60.0,60.0,1,277,16620.0,https://y.qq.com/music/photo_new/T002R300x300M000003EWAzP0HD7X5_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592021
154,琵琶行,琵琶行,窦唯 / 朝简,合作歌手,2023/4/30,50.0,50.0,1,223,11150.0,https://y.qq.com/music/photo_new/T002R300x300M000002Rkqhl0vNC5M_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592026
155,宋词,宋词,窦唯 / 朝简,合作歌手,2023/4/30,80.0,80.0,1,187,14960.0,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592023
156,玉真宫氏,玉真宫氏,窦唯 / 朝简,合作歌手,2023/4/30,100.0,100.0,1,184,18400.0,https://y.qq.com/music/photo_new/T002R300x300M000004NO9gO25c3as_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592020
157,元曲,元曲,窦唯 / 朝简,合作歌手,2023/4/30,80.0,80.0,1,145,11600.0,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592025
158,I'm Here,I'm Here,范丞丞,组合成员,2018/11/22,2.0,2.0,3,2800685,5601370.0,https://y.qq.com/music/photo_new/T002R300x300M000003lNZ4c1ixmsd_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000
159,咦？,咦？,范丞丞,组合成员,2021/6/16,9.0,9.0,4,1158449,10426041.0,https://y.qq.com/music/photo_new/T002R300x300M000002Pihkk3ePYFy_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000
160,Like A Fan,Like A Fan,范丞丞,组合成员,2019/6/16,6.16,6.16,3,1043106,6425532.96,https://y.qq.com/music/photo_new/T002R300x300M000002gjfdo0qC5rl_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000
161,EMERGING,EMERGING,范丞丞,组合成员,2020/6/16,9.0,9.0,4,679080,6111720.0,https://y.qq.com/music/photo_new/T002R300x300M000000UQEUv0vUvPI_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000
162,范范的感恩节,范范的感恩节,范玮琪,台湾歌手,2016/1/9,18.0,18.0,10,15441,277938.0,https://y.qq.com/music/photo_new/T002R300x300M000001wQuzY3mM41n_1.jpg?max_age=2592000,2016/1/9,0.0,五大唱片/博客来/佳佳,,CD,https://y.qq.com/music/photo_new/T002R300x300M000001wQuzY3mM41n_1.jpg?max_age=2592000,歌词,https://y.qq.com/music/photo_new/T001R300x300M000003vyG9q2klWs4_2.jpg?max_age=2592000
163,一见倾心,一见倾心,冯建宇,大陆歌手,2018/8/9,5.0,5.0,4,316766,1583830.0,https://y.qq.com/music/photo_new/T002R300x300M0000021LoRA0LPmeX_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003D3xYX2pLwvg_2.jpg?max_age=2592000
164,曾以为,曾以为,冯建宇,大陆歌手,2019/9/20,8.0,8.0,3,19152,153216.0,https://y.qq.com/music/photo_new/T002R300x300M000002pfQNK0AZjvA_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003D3xYX2pLwvg_2.jpg?max_age=2592000
165,汉阳门花园,汉阳门花园,冯翔,大陆歌手,2016/5/17,4.0,4.0,6,3642,15326.0,https://y.qq.com/music/photo_new/T002R300x300M000002nLISH4Pb1oq_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004AgO6R1eZfgq_2.jpg?max_age=2592000
166,八月还没有结束,八月还没有结束,弗拉基米尔,大陆歌手,2021/8/30,2.0,2.0,1,1543,3086.0,https://p2.music.126.net/vD5694k1cqJPCccASpAajA==/109951166328009370.jpg?param=140y140,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg
167,剧院风情,剧院风情,弗拉基米尔,大陆歌手,2021/10/20,2.0,2.0,1,1186,2372.0,https://p2.music.126.net/6BJQ4w2b2Th7EBiggWghCQ==/109951166534297118.jpg?param=140y140,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg
168,倒塌的新建筑,倒塌的新建筑,弗拉基米尔,大陆歌手,2021/12/7,2.0,2.0,1,510,1020.0,https://p2.music.126.net/QrwvhQJoWSnTiQxYLyiFUQ==/109951166685855241.jpg?param=140y140,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg
169,冒险,冒险,弗拉基米尔,大陆歌手,2022/1/25,3.0,3.0,1,457,1371.0,https://p2.music.126.net/rF6JHZKYwnHN4fhR5ZK8Pw==/109951166973102039.jpg?param=140y140,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg
170,Love me,Love me,高嘉朗,大陆歌手,2020/1/12,3.0,3.0,1,48686,146058.0,https://p2.music.126.net/D8gTKpnJlS-mEzUL44PMKA==/109951164612566195.jpg?param=140y140,,,,,,,,https://p2.music.126.net/WxK-VCGxuBBj_ZlNpw1AxQ==/109951165753400230.jpg
171,躲在心里的时光,躲在心里的时光,高睿,大陆歌手,2022/5/6,18.0,18.0,20,446,8640.0,https://p1.music.126.net/OXmcVz0mZTbFvHpyBWE9Jw==/109951167354651791.jpg?param=140y140,,,,,,,,https://p1.music.126.net/SM_CGfDgduMHO8d4HbAzRw==/109951168559900475.jpg
172,「上映」· 点亮现场Live,「上映」· 点亮现场Live,宫阁,大陆歌手,2020/10/21,12.0,12.0,13,2258,27096.0,https://p2.music.126.net/zihPNFIqtnC6WAjPfKdnVQ==/109951165403037471.jpg?param=140y140,,,,,,,,https://p2.music.126.net/w44eXOStHzgEtVqkHEYjEw==/109951165013776889.jpg
173,Dear Leslie,Dear Leslie,古巨基,香港歌手,2016/9/12,5.0,5.0,2,28394,141970.0,https://y.qq.com/music/photo_new/T002R300x300M000001HcQD23lrUGN_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000NFT2p1GbnPB_2.jpg?max_age=2592000
174,Blossom,Blossom,谷蓝帝,大陆歌手,2020/7/13,6.0,6.0,3,52820,316920.0,https://y.qq.com/music/photo_new/T002R300x300M000003jQIK13lxsnc_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001c5Yuw4VfDK1_4.jpg?max_age=2592000
175,CENTER,CENTER,管栎,大陆歌手,2020/10/15,15.0,15.0,8,76943,1154145.0,https://p1.music.126.net/xzNXWvhOp--kjMn2ZisHlQ==/109951165389571852.jpg?param=140y140,,,,,,,,https://p1.music.126.net/5_MchiQbeySsKehb7kWWTQ==/109951165371858668.jpg
176,无间,无间,鬼卞,rapper,2019/4/13,10.0,10.0,10,21243,212430.0,https://p2.music.126.net/yANM_crI1TffeIqGol4sqQ==/109951163984622760.jpg?param=140y140,,,,,,,,https://p2.music.126.net/5PZarpdiD_6RAR8fpTuyTw==/109951166768533191.jpg
177,拯救拉维斯,拯救拉维斯,海底时光机,乐队,2022/7/14,19.9,19.9,12,2771,55142.9,https://p2.music.126.net/OQE11QFUc87ZbFTHtUVDzg==/109951167663159955.jpg?param=140y140,2022/4/21,-84.0,秀动,150.0,CD,https://s2.showstart.com/img/2022/0421/14/30/3043915f632246aea7afec3d89613191_1006_660_450747.0x0.png,种子/星星石/粘土/歌词,https://p2.music.126.net/TIqUWGDRYq1Ex5c2tzo1lA==/109951167313040644.jpg
178,死不回头,死不回头,海龟先生,乐队,2021/5/18,20.0,20.0,10,23656,473120.0,https://p1.music.126.net/GEpPvd9GZBWj0OynBk7nkQ==/109951165972975577.jpg?param=140y140,,,,,,,,https://p1.music.126.net/cUN5g6rcG4HBG16E_2xh9g==/109951164127232558.jpg
179,健忘症,健忘症,韩安旭,大陆歌手,2018/1/19,2.0,2.0,1,25742,51484.0,https://y.qq.com/music/photo_new/T002R300x300M000002yoGq10SisiR_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004QoDUs3jfOC6_3.jpg?max_age=2592000
180,《三庚》迷你数字专辑I,《三庚》迷你数字专辑I,韩庚,大陆歌手,2015/9/20,5.0,5.0,4,173301,866505.0,https://y.qq.com/music/photo_new/T002R300x300M0000015YOKR2tnSoS_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000
181,《三庚》迷你数字专辑II,《三庚》迷你数字专辑II,韩庚,大陆歌手,2015/10/20,5.0,5.0,3,148139,740695.0,https://y.qq.com/music/photo_new/T002R300x300M000004Y1rhV2wagNm_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000
182,《三庚》迷你数字专辑III,三庚,韩庚,大陆歌手,2015/11/20,5.0,15.0,3,78711,393555.0,https://y.qq.com/music/photo_new/T002R300x300M000004Y1rhV2wagNm_1.jpg?max_age=2592000,2015/12/24,34.0,京东,199.0,CD,https://img11.360buyimg.com/n1/jfs/t2395/237/1065850704/177983/ed1ff2ff/56722671Na7b9b25c.jpg.avif,歌词,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000
183,来·走,来·走,韩沐伯,大陆歌手,2019/12/28,3.0,3.0,1,36152,108456.0,https://p2.music.126.net/bKKMMc7PrQBqdBKO-lgICA==/109951164581200546.jpg?param=140y140,,,,,,,,https://p1.music.126.net/p2z0CPuH45KwfqMRZeRE_w==/109951163414916008.jpg
184,实名制,实名制,好妹妹,乐队,2017/4/7,20.0,20.0,11,131228,2624560.0,https://y.qq.com/music/photo_new/T002R300x300M0000032gWDA2x5q6l_1.jpg?max_age=2592000,2017/5/24,47.0,京东,99.0,CD,https://y.qq.com/music/photo_new/T002R300x300M0000032gWDA2x5q6l_1.jpg?max_age=2592000,歌词,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000
185,我愿意为你轻轻歌唱,我愿意为你轻轻歌唱,好妹妹,乐队,2018/3/19,1.0,1.0,1,77422,82381.0,https://y.qq.com/music/photo_new/T002R300x300M000001g04oF1j2YWC_1.jpg,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592001
186,追梦人,追梦人,好妹妹,乐队,2018/10/17,20.0,20.0,10,36854,737080.0,https://y.qq.com/music/photo_new/T002R300x300M000002Vi7hZ03Jv44_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000
187,西窗,西窗,好妹妹,乐队,2015/12/1,16.0,16.0,8,35852,597370.0,https://y.qq.com/music/photo_new/T002R300x300M000001pQeyo3WkBgC_1.jpg?max_age=2592000,2015/12/25,24.0,京东,59.0,CD,https://img14.360buyimg.com/n1/jfs/t2359/257/1811890770/1828808/9e61c16c/5679fa78N21264298.jpg,歌词/海报,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000
188,谎话情歌,谎话情歌,好妹妹,乐队,2016/5/20,2.0,2.0,1,34243,72798.0,https://y.qq.com/music/photo_new/T002R300x300M000001sAMVS2fGxNq_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592002
189,BEGIN-NING,BEGIN-NING,何洛洛,大陆歌手,2022/6/21,9.0,9.0,3,44957,405883.0,https://y.qq.com/music/photo_new/T002R300x300M000004UE2ZI2ZVRXn_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001cBXyI2E9ogp_6.jpg?max_age=2592000
190,香水月季,香水月季,贺俊雄,大陆歌手,2020/7/9,6.0,6.0,3,4678,28068.0,https://y.qq.com/music/photo_new/T002R300x300M000000pIM823n01Eg_3.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002ouDhX1SuG8L_5.jpg?max_age=2592000
191,十年之前和三个爱情故事,十年之前和三个爱情故事,嘿！！！,乐队,2018/6/29,23.3,23.3,18,656,15800.0,https://y.qq.com/music/photo_new/T002R300x300M000003iPptk0JI1D5_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002GV3SG4KJdSB_2.jpg?max_age=2592000
192,呼啸旅程,呼啸旅程,呼戈,大陆歌手,2020/1/18,25.0,25.0,10,352,9625.0,https://y.qq.com/music/photo_new/T002R300x300M000004LaNaf3I16aZ_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002HnX993J7Guj_4.jpg?max_age=2592000
193,Can You Remember,Can You Remember,胡春杨,大陆歌手,2020/12/18,3.0,3.0,1,338718,1016154.0,https://y.qq.com/music/photo_new/T002R300x300M0000046Ui7W1IbOk4_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000C4P2u3Xae0Z_4.jpg?max_age=2592000
194,X,X,胡彦斌,大陆歌手,2017/3/31,5.0,5.0,3,179978,899890.0,https://y.qq.com/music/photo_new/T002R300x300M000003YDnin2lEudw_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000022VU5J1D8BRP_3.jpg?max_age=2592000
195,好想爱这个世界啊,好想爱这个世界啊,华晨宇,大陆歌手,2019/12/4,3.0,3.0,1,23071694,69215082.0,https://p2.music.126.net/3-y4J1CayZI0k2NkNkTmDw==/109951164525748216.jpg?param=140y140,,,,,,,,https://p1.music.126.net/1pi9h251mm89Rs6I6M0Cgg==/109951168163281949.jpg
196,新世界NEW WORLD,新世界NEW WORLD,华晨宇,大陆歌手,2020/4/8,20.0,20.0,8,1873878,37477560.0,https://p2.music.126.net/sY3TVSvagXidLzCOy9WVwg==/109951164881032001.jpg?param=140y140,2020/5/10,32.0,淘宝/五大唱片/博客来/佳佳,277.0,USB,https://img.alicdn.com/imgextra/i2/651780632/O1CN01wxlVF91GXV9Ldg2p5_!!0-item_pic.jpg,项链/歌词/小卡/海报,https://p1.music.126.net/1pi9h251mm89Rs6I6M0Cgg==/109951168163281949.jpg
197,希忘Hope,希忘Hope,华晨宇,大陆歌手,2022/12/20,27.0,27.0,11,953372,25741044.0,https://p2.music.126.net/cpppq3vKqjQ5YwzNYM_C7Q==/109951168244956668.jpg?param=140y140,2023/5/10,141.0,网易云音乐/五大唱片/博客来/佳佳,199.0,USB,https://www.5music.com.tw/cdpic/zn2/32023559290.jpg,歌词/海报/火星符号,https://p1.music.126.net/1pi9h251mm89Rs6I6M0Cgg==/109951168163281949.jpg
198,宋词辑贰,宋词辑贰,幻境工场童声合唱团 / 周迅 / 老狼,合作歌手,2021/11/8,10.0,10.0,7,6453,64530.0,https://y.qq.com/music/photo_new/T002R300x300M000002dxtzg4OLhOs_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001Gg8NS3SJmyO_2.jpg?max_age=2592000
199,Hard Road,Hard Road,黄明昊,组合成员,2018/11/5,2.0,2.0,3,2795983,5591966.0,https://p1.music.126.net/EIDBC9QB31Gcqor9jXEcwg==/109951163641410508.jpg?param=140y140,,,,,,,,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
200,U,U,黄明昊,组合成员,2021/7/16,3.0,3.0,1,1745637,5236911.0,https://p1.music.126.net/DBlbyZhTb4DZHVWI0D0F3w==/109951166851545378.jpg?param=140y140,,,,,,,,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
201,Liar,Liar,黄明昊,组合成员,2019/4/23,3.0,3.0,1,1236052,3708156.0,https://p1.music.126.net/Re5BmWHlEI4tlQ8UlwHATw==/109951164010639280.jpg?param=140y140,,,,,,,,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
202,18,18,黄明昊,组合成员,2020/8/3,25.0,25.0,10,849370,21234250.0,https://p1.music.126.net/I5cXQEPw8bQp2Kq5EXSSFg==/109951165187764439.jpg?param=140y140,2020/12/31,150.0,owaht,88.0,CD,https://p1.music.126.net/I5cXQEPw8bQp2Kq5EXSSFg==/109951165187764439.jpg,贴纸/歌词/书签/小卡/写真集,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
203,VR,VR,黄明昊,组合成员,2022/8/24,25.0,25.0,9,253426,6335650.0,https://p1.music.126.net/0cIIsXqViOVIBtr3cHggtg==/109951167808812700.jpg?param=140y140,2023/2/1,161.0,QQ音乐/酷狗音乐,152.19,CD,https://p1.music.126.net/0cIIsXqViOVIBtr3cHggtg==/109951167808812700.jpg,自拍ID卡/写真/歌词/明信片/小卡/海报,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
204,请拨打我的电话please,请拨打我的电话please,黄明昊,组合成员,2019/11/26,3.0,3.0,1,132049,396147.0,https://p1.music.126.net/fBF_zhLx2UWvUoYyDP7jtw==/109951164501243911.jpg?param=140y140,,,,,,,,https://p2.music.126.net/vM4Kzs_WgAzoRzm3JWkZWQ==/109951165196795354.jpg
205,二十一,二十一,黄新淳,组合成员,2019/5/21,3.0,3.0,3,64235,192705.0,https://p1.music.126.net/hefSbmlNJgG9OAs73f-MMw==/109951164085771515.jpg?param=140y140,,,,,,,,https://p1.music.126.net/k7zAWGwICW9xFdIZRDc0SA==/109951164089935763.jpg
206,Missing You,Missing You,黄新淳,组合成员,2019/11/26,3.0,3.0,1,32926,98778.0,https://p1.music.126.net/7kDerNvho2hIn4ZLIhr6MA==/109951164501407497.jpg?param=140y140,,,,,,,,https://p1.music.126.net/k7zAWGwICW9xFdIZRDc0SA==/109951164089935763.jpg
207,近你环行日记,近你环行日记,黄新淳,组合成员,2020/5/14,3.0,3.0,1,30638,91914.0,https://p1.music.126.net/ZyG_PyDg8xN-kryavg0lxQ==/109951164985561533.jpg?param=140y140,,,,,,,,https://p1.music.126.net/k7zAWGwICW9xFdIZRDc0SA==/109951164089935763.jpg
208,Run Away (不知道),Run Away (不知道),黄新淳,组合成员,2021/5/14,3.0,3.0,1,10654,31962.0,https://p1.music.126.net/3vXMfuMs4du1AQGEaAGhwg==/109951165972767501.jpg?param=140y140,,,,,,,,https://p1.music.126.net/k7zAWGwICW9xFdIZRDc0SA==/109951164089935763.jpg
209,I Got U（深陷）,I Got U（深陷）,黄新淳,组合成员,2022/5/14,4.0,4.0,1,1806,7224.0,https://p1.music.126.net/68iCJE-7wrXgwI9q0wAL_A==/109951167406735860.jpg?param=140y140,,,,,,,,https://p1.music.126.net/k7zAWGwICW9xFdIZRDc0SA==/109951164089935763.jpg
210,T.A.O,T.A.O,黄子韬,大陆歌手,2015/7/23,5.0,5.0,3,324721,1623605.0,https://y.qq.com/music/photo_new/T002R300x300M000003kR2pW4GGFSx_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003XriCI0OfGYj_3.jpg?max_age=2592000
211,撞,撞,火箭少女101,组合,2018/8/18,10.1,10.1,8,2301433,23244473.2,https://y.qq.com/music/photo_new/T002R300x300M000001zLxbr23aBw9_1.jpg?max_age=2592000,2018/10/21,64.0,腾讯视频,101.0,CD,https://puui.qpic.cn/vmall/0/1_1522231891_1539854061005/0?imageMogr2/thumbnail/750x,立体贺卡/写真/贴纸/歌词/小卡/海报,https://y.qq.com/music/photo_new/T001R300x300M000000Rh4DK4MmxIU_3.jpg?max_age=2592000
212,立风,立风,火箭少女101,组合,2019/6/23,27.0,27.0,13,740792,20001384.0,https://y.qq.com/music/photo_new/T002R300x300M0000018oANt3Hd7ZE_4.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000Rh4DK4MmxIU_3.jpg?max_age=2592000
213,罗盘,罗盘,嘉羿,大陆歌手,2020/12/6,3.0,3.0,1,19793,59379.0,https://p1.music.126.net/KoTSXcbzcILySExfXpoekQ==/109951165515538833.jpg?param=140y140,,,,,,,,https://p2.music.126.net/ozrf7mu6KEkvcWbyzFOPxQ==/109951165354362893.jpg
214,相信爱/TEMPLE,相信爱/TEMPLE,贾凡,大陆歌手,2019/12/12,5.0,5.0,2,33961,169805.0,https://p2.music.126.net/GOWpLuzAZ05dk1bOn-hXkg==/109951164540802495.jpg?param=140y140,,,,,,,,https://p1.music.126.net/QF2sCLzi-jkXNrFaMtYAHg==/109951164440317195.jpg
215,戏韵文音·续诗品,戏韵文音·续诗品,姜培培 /窦唯 / 朝简,合作歌手,2023/1/13,30.0,30.0,1,706,21180.0,https://y.qq.com/music/photo_new/T002R300x300M000004OmLyZ0wmr2W_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HYOMi3aGkUT_1.jpg?max_age=2592000
216,岁月如歌,岁月如歌,姜昕,大陆歌手,2020/7/15,20.0,20.0,10,1572,31440.0,https://y.qq.com/music/photo_new/T002R300x300M000003vWAar2orAU5_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000024ChJm1tdAse_5.jpg?max_age=2592000
217,告辞,告辞,蒋蒋,大陆歌手,2018/1/3,2.0,2.0,1,124761,249522.0,https://y.qq.com/music/photo_new/T002R300x300M000001Zh4ba0waeqN_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001ii8ME2uOv92_3.jpg?max_age=2592000
218,隐形人,隐形人,蒋劲夫,其他,2016/8/17,2.0,2.0,1,25236,50472.0,https://y.qq.com/music/photo_new/T002R300x300M000003QGixE0FRhLB_1.jpg,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003L6Pvh2zV7po_2.jpg?max_age=2592000
219,这座城市,这座城市,蒋雪儿,大陆歌手,2018/2/26,5.0,5.0,1,57684,288420.0,https://y.qq.com/music/photo_new/T002R300x300M0000010o0zZ001aRl_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001TgcTp2jHGOR_5.jpg?max_age=2592000
220,叹云兮,叹云兮,蒋芸,大陆歌手,2022/3/27,3.0,3.0,1,19216,57648.0,https://p2.music.126.net/SuqPyZykruTGvWAqU2zbUA==/109951167192958693.jpg?param=140y140,,,,,,,,https://p1.music.126.net/aWKGIltth8Ml7Kw4dcSK6w==/109951168708248643.jpg
221,巾帼红颜,巾帼红颜,金子涵,大陆歌手,2020/12/10,3.0,3.0,1,122444,367332.0,https://y.qq.com/music/photo_new/T002R300x300M000003GlZMD2FLw8E_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003lAarq46msXo_4.jpg?max_age=2592000
222,温暖,温暖,靳东,其他,2018/1/23,3.0,3.0,1,698446,2095338.0,https://y.qq.com/music/photo_new/T002R300x300M000003wFAwQ0HQqON_1.jpg,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000045qReB43Pn2g_2.jpg
223,过去完成时,过去完成时,鞠婧祎,大陆歌手,2021/1/5,3.0,3.0,1,385924,1157772.0,https://p2.music.126.net/lirp-AtHKz7N3LajWge3Gw==/109951165604240638.jpg?param=140y140,,,,,,,,https://p2.music.126.net/_6KbxpiyT9UGj5L2Vx_jOQ==/109951165610857639.jpg
224,孤独与诗,孤独与诗,鞠婧祎,大陆歌手,2019/6/18,3.0,3.0,1,341417,1024251.0,https://p1.music.126.net/kNtdMDuTkRpGPBcsrLEc8A==/109951164702349122.jpg?param=140y140,,,,,,,,https://p2.music.126.net/_6KbxpiyT9UGj5L2Vx_jOQ==/109951165610857639.jpg
225,恋爱告急,恋爱告急,鞠婧祎,大陆歌手,2019/11/8,5.0,5.0,2,243515,1217575.0,https://p2.music.126.net/DlWw9NwDM3HjehBzwdBY4A==/109951164470133812.jpg?param=140y140,,,,,,,,https://p2.music.126.net/_6KbxpiyT9UGj5L2Vx_jOQ==/109951165610857639.jpg
226,0.2s,0.2s,鞠婧祎,大陆歌手,2022/2/22,3.0,3.0,1,198229,594687.0,https://p1.music.126.net/xwAYWfeqf7jVa26FGAwjuQ==/109951167061125961.jpg?param=140y140,,,,,,,,https://p2.music.126.net/_6KbxpiyT9UGj5L2Vx_jOQ==/109951165610857639.jpg
