album,singer,identity,digit-date,price,song-number,total-volumn,total-sale,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）,digit-img,entity-date,diff,entity-platform,entity-price,entity-form,实体价格2,形式2,entity-img,实体封面2,entity-thing,微博,singer-img,歌手图片2
Circle,丁泽仁,组合成员,2020/11/19,3,1,62019,186057,1396,4188,60427,181281,145,435,0,0,51,153,https://y.qq.com/music/photo_new/T002R300x300M000002BOmSH0MRXDX_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000,
大卫,丁泽仁,组合成员,2019/11/26,3,1,18902,56706,0,0,18838,56514,0,0,0,0,64,192,https://y.qq.com/music/photo_new/T002R300x300M000003lMlFa41OCVN_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000HZ2dP0KPVnS_4.jpg?max_age=2592000,
一剑倾心,董力,大陆歌手,2017/8/7,2,1,25396,50792,15380,30760,0,0,1363,2726,8653,17306,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004PubDC01xNMn_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002B2C7O1Lnxru_2.jpg?max_age=2592000,
没有什么不可以,董又霖,台湾歌手,2020/6/14,3,1,22397,67191,0,0,22397,67191,0,0,0,0,0,0,https://p2.music.126.net/N2h54-50_417ydAtSgQcOg==/109951165056972495.jpg,,,,,,,,,,,,https://p2.music.126.net/BTEl8qGrgqfJK58rv9txFg==/109951163406153411.jpg,
River Run,窦靖童,大陆歌手,2015/12/11,2,1,45333,90666,32390,64780,0,0,12748,25496,195,390,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001hyfzx3k4B0M_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000040qarZ1T5z55_5.jpg?max_age=2592000,
宋词,窦唯 / 朝简,合作歌手,2021/5/1,10,5,15848,158480,5150,51500,9282,92820,1151,11510,209,2090,56,560,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592000,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592000
元曲,窦唯 / 朝简,合作歌手,2021/5/1,10,4,9619,96190,3669,36690,3508,35080,678,6780,63,630,1701,17010,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592003,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592003
白居易,窦唯 / 朝简,合作歌手,2021/8/22,20,2,6871,137420,1206,24120,3492,69840,138,2760,70,1400,1965,39300,https://y.qq.com/music/photo_new/T002R300x300M000003quInC4YKBN8_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592001,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592001
离骚,窦唯 / 朝简,合作歌手,2021/6/13,10,1,6146,61460,1741,17410,3532,35320,530,5300,59,590,284,2840,https://y.qq.com/music/photo_new/T002R300x300M000004REk3w1JtmBp_3.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592008,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592008
宋词,窦唯 / 朝简,合作歌手,2021/10/14,10,1,3655,36550,1046,10460,1981,19810,262,2620,26,260,340,3400,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592015,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592015
大招,窦唯 / 朝简,合作歌手,2021/10/14,10,1,3558,35580,746,7460,2335,23350,215,2150,28,280,234,2340,https://y.qq.com/music/photo_new/T002R300x300M000003KrL0e2zLb9z_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592016,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592016
“想象”跨年音乐会（上半场）,窦唯 / 朝简,合作歌手,2021/12/31,30,1,3410,102300,929,27870,2290,68700,158,4740,28,840,5,150,https://y.qq.com/music/photo_new/T002R300x300M000003HYr9S06eQE8_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592002,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592002
百家弟子,窦唯 / 朝简,合作歌手,2021/5/31,10,2,3095,30950,675,6750,1809,18090,319,3190,35,350,257,2570,https://y.qq.com/music/photo_new/T002R300x300M000002xwRC84FzjHZ_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592018,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592018
幼学琼林（卷二）,窦唯 / 朝简,合作歌手,2021/7/23,20,10,2881,57620,312,6240,1072,21440,57,1140,10,200,1430,28600,https://y.qq.com/music/photo_new/T002R300x300M000003qv56Q2aQNnX_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592009,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592009
医宜以疫,窦唯 / 朝简,合作歌手,2021/11/30,20,2,2798,55960,781,15620,1710,34200,262,5240,33,660,12,240,https://p2.music.126.net/f1i3wHrMCWTfNouMFP_fdA==/109951166669786197.jpg,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592010,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592010
戏韵文音·红楼文曲 (上),窦唯 / 朝简,合作歌手,2022/11/11,30,1,2611,78330,760,22800,1657,49710,145,4350,49,1470,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000005CoRr1uUc9O_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592004,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592004
幼学琼林（卷四）,窦唯 / 朝简,合作歌手,2021/8/6,20,6,2405,48100,223,4460,726,14520,64,1280,10,200,1382,27640,https://y.qq.com/music/photo_new/T002R300x300M000002bOuk31zdUXR_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592012,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592012
贤文冬至乐会,窦唯 / 朝简,合作歌手,2023/1/22,30,14,2252,67560,588,17640,1546,46380,90,2700,28,840,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001jWqgj2KRuid_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592007,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592007
幼学琼林 (卷一),窦唯 / 朝简,合作歌手,2021/7/16,20,6,2231,44620,473,9460,1116,22320,130,2600,11,220,501,10020,https://y.qq.com/music/photo_new/T002R300x300M000002MKxTb45KYcy_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592013,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592013
幼学琼林（卷三）,窦唯 / 朝简,合作歌手,2021/7/30,20,7,2098,41960,223,4460,453,9060,49,980,6,120,1367,27340,https://y.qq.com/music/photo_new/T002R300x300M0000038HVBJ3jc0oA_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592014,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592014
钟之告,窦唯 / 朝简,合作歌手,2021/8/22,10,1,1870,18700,607,6070,980,9800,269,2690,14,140,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002itXmT2IKXbD_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592019,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592019
“想象”跨年音乐会（下半场）,窦唯 / 朝简,合作歌手,2021/12/31,30,1,1751,52530,492,14760,1143,34290,96,2880,16,480,4,120,https://y.qq.com/music/photo_new/T002R300x300M000003XJSIV4It2xv_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592011,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592011
元曲,窦唯 / 朝简,合作歌手,2021/10/14,10,1,1632,16320,436,4360,890,8900,102,1020,13,130,191,1910,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592022,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592022
贤文冬至乐会序曲·阿房宫赋,窦唯 / 朝简,合作歌手,2023/1/13,10,1,1346,13460,339,3390,941,9410,56,560,10,100,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003EjNGJ2mW8F9_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592024,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592024
戏韵文音·红楼文曲 (下),窦唯 / 朝简,合作歌手,2022/11/11,30,1,1092,32760,263,7890,750,22500,61,1830,18,540,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003aMZSd0g2eGK_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592017,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592017
安神符,窦唯 / 朝简,合作歌手,2023/5/24,100,2,755,75500,217,21700,475,47500,48,4800,6,600,9,900,https://y.qq.com/music/photo_new/T002R300x300M000002Oq8Mo4EdYs2_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592005,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592005
离骚2023,窦唯 / 朝简,合作歌手,2023/3/28,100,1,713,71300,231,23100,423,42300,50,5000,8,800,1,100,https://y.qq.com/music/photo_new/T002R300x300M000002ARO3e0Ug4RB_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592006,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592006
神女赋,窦唯 / 朝简,合作歌手,2023/4/30,60,1,277,16620,93,5580,170,10200,12,720,1,60,1,60,https://y.qq.com/music/photo_new/T002R300x300M000003EWAzP0HD7X5_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592021,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592021
琵琶行,窦唯 / 朝简,合作歌手,2023/4/30,50,1,223,11150,60,3000,157,7850,3,150,3,150,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002Rkqhl0vNC5M_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592026,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592026
宋词,窦唯 / 朝简,合作歌手,2023/4/30,80,1,187,14960,60,4800,119,9520,7,560,1,80,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000ywxUa4Tdr3r_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592023,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592023
玉真宫氏,窦唯 / 朝简,合作歌手,2023/4/30,100,1,184,18400,56,5600,122,12200,4,400,2,200,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004NO9gO25c3as_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592020,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592020
元曲,窦唯 / 朝简,合作歌手,2023/4/30,80,1,145,11600,38,3040,96,7680,10,800,1,80,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001mcttX2nuPlE_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004N8FsQ4WfeWU_2.jpg?max_age=2592025,https://y.qq.com/music/photo_new/T001R300x300M000001I9vMk15q0qB_5.jpg?max_age=2592025
I'm Here,范丞丞,组合成员,2018/11/22,2,3,2800685,5601370,0,0,2799469,5598938,0,0,0,0,1216,2432,https://y.qq.com/music/photo_new/T002R300x300M000003lNZ4c1ixmsd_2.jpg?max_age=2592000,,,,,,,,,,,？,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000,
咦？,范丞丞,组合成员,2021/6/16,9,4,1158449,10426041,0,0,1158449,10426041,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002Pihkk3ePYFy_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000,
Like A Fan,范丞丞,组合成员,2019/6/16,6.16,3,1043106,6425532.96,0,0,1042430,6421368.8,0,0,0,0,676,4164.16,https://y.qq.com/music/photo_new/T002R300x300M000002gjfdo0qC5rl_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000,
EMERGING,范丞丞,组合成员,2020/6/16,9,4,679080,6111720,0,0,679080,6111720,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000UQEUv0vUvPI_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003Xdva3492aOm_4.jpg?max_age=2592000,
范范的感恩节,范玮琪,台湾歌手,2016/1/9,18,10,15441,277938,12866,231588,2575,46350,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001wQuzY3mM41n_1.jpg?max_age=2592000,2016/1/9,0,五大唱片/博客来/佳佳,,CD,105.97,,https://y.qq.com/music/photo_new/T002R300x300M000001wQuzY3mM41n_1.jpg?max_age=2592000,,歌词本,,https://y.qq.com/music/photo_new/T001R300x300M000003vyG9q2klWs4_2.jpg?max_age=2592000,
一见倾心,冯建宇,大陆歌手,2018/8/9,5,4,316766,1583830,0,0,0,0,294257,1471285,22509,112545,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000021LoRA0LPmeX_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003D3xYX2pLwvg_2.jpg?max_age=2592000,
曾以为,冯建宇,大陆歌手,2019/9/20,8,3,19152,153216,489,3912,0,0,18058,144464,605,4840,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002pfQNK0AZjvA_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003D3xYX2pLwvg_2.jpg?max_age=2592000,
汉阳门花园,冯翔,大陆歌手,2016/5/17,4,6,3642,15326,3642,15326,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002nLISH4Pb1oq_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004AgO6R1eZfgq_2.jpg?max_age=2592000,
八月还没有结束,弗拉基米尔,大陆歌手,2021/8/30,2,1,1543,3086,0,0,991,1982,0,0,0,0,552,1104,https://p2.music.126.net/vD5694k1cqJPCccASpAajA==/109951166328009370.jpg,,,,,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg,
剧院风情,弗拉基米尔,大陆歌手,2021/10/20,2,1,1186,2372,0,0,498,996,0,0,0,0,688,1376,https://p2.music.126.net/6BJQ4w2b2Th7EBiggWghCQ==/109951166534297118.jpg,,,,,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg,
倒塌的新建筑,弗拉基米尔,大陆歌手,2021/12/7,2,1,510,1020,0,0,463,926,0,0,0,0,47,94,https://p2.music.126.net/QrwvhQJoWSnTiQxYLyiFUQ==/109951166685855241.jpg,,,,,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg,
冒险,弗拉基米尔,大陆歌手,2022/1/25,3,1,457,1371,0,0,344,1032,0,0,0,0,113,339,https://p2.music.126.net/rF6JHZKYwnHN4fhR5ZK8Pw==/109951166973102039.jpg,,,,,,,,,,,,https://p1.music.126.net/KRNQHIu8MKZHLsfHri7qyg==/109951166328063557.jpg,
Love me,高嘉朗,大陆歌手,2020/1/12,3,1,48686,146058,0,0,48356,145068,0,0,0,0,330,990,https://p2.music.126.net/D8gTKpnJlS-mEzUL44PMKA==/109951164612566195.jpg,,,,,,,,,,,,https://p2.music.126.net/WxK-VCGxuBBj_ZlNpw1AxQ==/109951165753400230.jpg,
躲在心里的时光,高睿,大陆歌手,2022/5/6,18,20,446,8640,0,0,446,8640,0,0,0,0,0,0,https://p1.music.126.net/OXmcVz0mZTbFvHpyBWE9Jw==/109951167354651791.jpg,,,,,,,,,,,,https://p1.music.126.net/SM_CGfDgduMHO8d4HbAzRw==/109951168559900475.jpg,
「上映」· 点亮现场Live,宫阁,大陆歌手,2020/10/21,12,13,2258,27096,0,0,2258,27096,0,0,0,0,0,0,https://p2.music.126.net/zihPNFIqtnC6WAjPfKdnVQ==/109951165403037471.jpg,,,,,,,,,,,,https://p2.music.126.net/w44eXOStHzgEtVqkHEYjEw==/109951165013776889.jpg,
Dear Leslie,古巨基,香港歌手,2016/9/12,5,2,28394,141970,28394,141970,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001HcQD23lrUGN_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000NFT2p1GbnPB_2.jpg?max_age=2592000,
Blossom,谷蓝帝,大陆歌手,2020/7/13,6,3,52820,316920,48262,289572,0,0,2443,14658,2115,12690,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003jQIK13lxsnc_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001c5Yuw4VfDK1_4.jpg?max_age=2592000,
CENTER,管栎,大陆歌手,2020/10/15,15,8,76943,1154145,0,0,76030,1140450,0,0,0,0,913,13695,https://p1.music.126.net/xzNXWvhOp--kjMn2ZisHlQ==/109951165389571852.jpg,,,,,,,,,,,,https://p1.music.126.net/5_MchiQbeySsKehb7kWWTQ==/109951165371858668.jpg,
无间,鬼卞,rapper,2019/4/13,10,10,21243,212430,0,0,21243,212430,0,0,0,0,0,0,https://p2.music.126.net/yANM_crI1TffeIqGol4sqQ==/109951163984622760.jpg,,,,,,,,,,,,https://p2.music.126.net/5PZarpdiD_6RAR8fpTuyTw==/109951166768533191.jpg,
拯救拉维斯,海底时光机,乐队,2022/7/14,19.9,12,2771,55142.9,0,0,2771,55142.9,0,0,0,0,0,0,https://p2.music.126.net/OQE11QFUc87ZbFTHtUVDzg==/109951167663159955.jpg,2022/4/21,-84,秀动,150,CD,,,https://s2.showstart.com/img/2022/0421/14/30/3043915f632246aea7afec3d89613191_1006_660_450747.0x0.png,,种子/星星石/粘土/歌词本,https://wap.showstart.com/pages/raise/detail/detail?id=1287&ssfrom=user-3823494,https://p2.music.126.net/TIqUWGDRYq1Ex5c2tzo1lA==/109951167313040644.jpg,
死不回头,海龟先生,乐队,2021/5/18,20,10,23656,473120,0,0,23656,473120,0,0,0,0,0,0,https://p1.music.126.net/GEpPvd9GZBWj0OynBk7nkQ==/109951165972975577.jpg,,,,,,,,,,,,https://p1.music.126.net/cUN5g6rcG4HBG16E_2xh9g==/109951164127232558.jpg,
健忘症,韩安旭,大陆歌手,2018/1/19,2,1,25742,51484,11720,23440,0,0,13708,27416,314,628,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002yoGq10SisiR_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004QoDUs3jfOC6_3.jpg?max_age=2592000,
《三庚》迷你数字专辑I,韩庚,大陆歌手,2015/9/20,5,4,173301,866505,159783,798915,3544,17720,7254,36270,2720,13600,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000015YOKR2tnSoS_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000,
《三庚》迷你数字专辑II,韩庚,大陆歌手,2015/10/20,5,3,148139,740695,138669,693345,2368,11840,5266,26330,1836,9180,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004Y1rhV2wagNm_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000,
《三庚》迷你数字专辑III,韩庚,大陆歌手,2015/11/20,5,3,78711,393555,68568,342840,1547,7735,3532,17660,5064,25320,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004Y1rhV2wagNm_1.jpg?max_age=2592000,2015/12/24,34,京东,199,CD,,,https://img11.360buyimg.com/n1/jfs/t2395/237/1065850704/177983/ed1ff2ff/56722671Na7b9b25c.jpg.avif,,歌词本,https://weibo.com/1763582395/D8YLXDHGk,https://y.qq.com/music/photo_new/T001R300x300M000003UaCgn3OEotl_3.jpg?max_age=2592000,
来·走,韩沐伯,大陆歌手,2019/12/28,3,1,36152,108456,0,0,36128,108384,0,0,0,0,24,72,https://p2.music.126.net/bKKMMc7PrQBqdBKO-lgICA==/109951164581200546.jpg,,,,,,,,,,,,https://p1.music.126.net/p2z0CPuH45KwfqMRZeRE_w==/109951163414916008.jpg,
实名制,好妹妹,乐队,2017/4/7,20,11,131228,2624560,14825,296500,84122,1682440,31814,636280,467,9340,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000032gWDA2x5q6l_1.jpg?max_age=2592000,2017/5/24,47,京东,99,CD,,,https://y.qq.com/music/photo_new/T002R300x300M0000032gWDA2x5q6l_1.jpg?max_age=2592000,,歌词本,https://weibo.com/2805678661/F4Cdu7d6B,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000,
我愿意为你轻轻歌唱,好妹妹,乐队,2018/3/19,1,1,77422,82381,72839,72839,0,0,3686,7678,897,1864,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001g04oF1j2YWC_1.jpg,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592001,
追梦人,好妹妹,乐队,2018/10/17,20,10,36854,737080,23610,472200,0,0,5966,119320,904,18080,6374,127480,https://y.qq.com/music/photo_new/T002R300x300M000002Vi7hZ03Jv44_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000,
西窗,好妹妹,乐队,2015/12/1,16,8,35852,597370,35852,597370,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001pQeyo3WkBgC_1.jpg?max_age=2592000,2015/12/25,24,京东,59,CD,,,https://img14.360buyimg.com/n1/jfs/t2359/257/1811890770/1828808/9e61c16c/5679fa78N21264298.jpg,,歌词本/海报,https://weibo.com/3315676330/D9ROQgppu,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592000,
谎话情歌,好妹妹,乐队,2016/5/20,2,1,34243,72798,34243,72798,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001sAMVS2fGxNq_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002Ua1Ph1SH8iF_5.jpg?max_age=2592002,
BEGIN-NING,何洛洛,大陆歌手,2022/6/21,9,3,44957,405883,37956,341926,0,0,6684,60852,317,3105,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004UE2ZI2ZVRXn_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001cBXyI2E9ogp_6.jpg?max_age=2592000,
香水月季,贺俊雄,大陆歌手,2020/7/9,6,3,4678,28068,4188,25128,0,0,341,2046,149,894,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000pIM823n01Eg_3.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002ouDhX1SuG8L_5.jpg?max_age=2592000,
十年之前和三个爱情故事,嘿！！！,乐队,2018/6/29,23.3,18,656,15800,656,15800,0,0,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003iPptk0JI1D5_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002GV3SG4KJdSB_2.jpg?max_age=2592000,
呼啸旅程,呼戈,大陆歌手,2020/1/18,25,10,352,9625,218,5753,0,0,104,3110,30,762,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004LaNaf3I16aZ_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002HnX993J7Guj_4.jpg?max_age=2592000,
Can You Remember,胡春杨,大陆歌手,2020/12/18,3,1,338718,1016154,1950,5850,336347,1009041,384,1152,0,0,37,111,https://y.qq.com/music/photo_new/T002R300x300M0000046Ui7W1IbOk4_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000C4P2u3Xae0Z_4.jpg?max_age=2592000,
